,Date,Confirmed,Cured,Deaths,Active,New Daily Confirmed Cases,New Daily Cured Cases,New Daily Deaths Cases
79,2020-04-18,14792,2015,488,12289,957,248,36
80,2020-04-19,16116,2302,519,13295,1324,287,31
81,2020-04-20,17656,2842,559,14255,1540,540,40
82,2020-04-21,18985,3260,603,15122,1329,418,44
83,2020-04-22,20471,3960,652,15859,1486,700,49
84,2020-04-23,21700,4325,686,16689,1229,365,34
85,2020-04-24,23452,4814,723,17915,1752,489,37
86,2020-04-25,24893,5210,779,18904,1441,396,56
87,2020-04-26,26605,5914,826,19865,1712,704,47
88,2020-04-27,28160,6362,886,20912,1555,448,60
89,2020-04-28,29834,7027,937,21870,1674,665,51
90,2020-04-29,31709,7797,1008,22904,1875,770,71
91,2020-04-30,33330,8373,1075,23882,1621,576,67
92,2020-05-01,34972,9065,1152,24755,1642,692,77
93,2020-05-02,37157,9951,1218,25988,2185,886,66
94,2020-05-03,40124,10887,1306,27931,2967,936,88
95,2020-05-04,42836,11762,1389,29685,2712,875,83
96,2020-05-05,46711,13161,1583,31967,3875,1399,194
97,2020-05-06,49391,14183,1694,33514,2680,1022,111
98,2020-05-07,52952,15267,1783,35902,3561,1084,89
99,2020-05-08,56342,16540,1886,37916,3390,1273,103
100,2020-05-09,59662,17847,1981,39834,3320,1307,95
101,2020-05-10,62939,19358,2109,41472,3277,1511,128
102,2020-05-11,67152,20917,2206,44029,4213,1559,97
103,2020-05-12,70756,22455,2293,46008,3604,1538,87
104,2020-05-13,74281,24386,2415,47480,3525,1931,122
105,2020-05-14,78003,26235,2549,49219,3722,1849,134
106,2020-05-15,81970,27920,2649,51401,3967,1685,100
107,2020-05-16,85710,30153,2752,52805,3740,2233,103
108,2020-05-17,90637,34109,2872,53656,4927,3956,120
109,2020-05-18,95759,36824,3029,55906,5122,2715,157
110,2020-05-19,100325,39174,3163,57988,4566,2350,134
111,2020-05-20,106750,42298,3303,61149,6425,3124,140
112,2020-05-21,112359,45300,3435,63624,5609,3002,132
113,2020-05-22,118447,48534,3583,66330,6088,3234,148
114,2020-05-23,125101,51784,3720,69597,6654,3250,137
115,2020-05-24,131868,54441,3867,73560,6767,2657,147
116,2020-05-25,138845,57721,4021,77103,6977,3280,154
117,2020-05-26,145380,60491,4167,80722,6535,2770,146
118,2020-05-27,151767,64426,4337,83004,6387,3935,170
119,2020-05-28,158333,67692,4531,86110,6566,3266,194
120,2020-05-29,158333,67692,4531,86110,0,0,0
